Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2019;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
01.01.2018;00 - 01;257,81;258,01;258,01;258,01;258,01;258,01;213,62;258,01;258,01;258,01;258,01;258,01;258,01;258,01;258,01;258,01;258,01
01.01.2018;01 - 02;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99;258,99
01.01.2018;02 - 03;255,66;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75;255,75
01.01.2018;03 - 04;241,35;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04;242,04
01.01.2018;04 - 05;241,74;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43;242,43
01.01.2018;05 - 06;237,53;176,48;176,48;176,48;176,48;176,48;176,48;176,48;242,62;242,62;242,62;241,74;241,74;241,74;176,48;176,48;176,48
01.01.2018;06 - 07;236,94;174,23;174,23;174,23;174,23;174,23;99,75;99,75;244,78;244,78;244,78;244,78;244,78;244,78;174,23;174,23;174,23
01.01.2018;07 - 08;238,02;174,42;174,42;174,42;174,42;174,42;174,42;174,42;251,93;251,93;251,93;250,95;250,95;250,95;174,42;174,42;174,42
01.01.2018;08 - 09;236,65;193,63;193,63;193,63;193,63;193,63;193,63;193,63;249,68;249,68;249,68;249,68;249,68;249,68;193,63;193,63;193,63
01.01.2018;09 - 10;237,72;203,13;203,13;203,13;203,13;203,13;203,13;203,13;250,27;250,27;250,27;250,27;250,27;250,27;203,13;203,13;203,13
01.01.2018;10 - 11;253,21;242,62;242,62;242,62;242,62;242,62;242,62;242,62;255,46;255,46;255,46;255,46;255,46;255,46;242,62;242,62;242,62
01.01.2018;11 - 12;255,36;251,64;251,64;251,64;251,64;251,64;251,64;251,64;255,95;255,95;255,95;255,95;255,95;255,95;251,64;251,64;251,64
01.01.2018;12 - 13;253,4;236,06;236,06;236,06;236,06;236,06;162,27;195,88;256,34;256,34;256,34;256,34;256,34;256,34;236,06;236,06;236,06
01.01.2018;13 - 14;254,38;245,07;245,07;245,07;245,07;245,07;129,44;245,07;256,64;256,64;256,64;256,64;256,64;256,64;245,07;245,07;245,07
01.01.2018;14 - 15;255,07;252,91;252,91;252,91;252,91;252,91;89,66;252,91;256,64;256,64;256,64;256,64;256,64;256,64;252,91;252,91;252,91
01.01.2018;15 - 16;258,99;259,28;259,28;259,28;259,28;259,28;130,23;259,28;259,28;259,28;259,28;259,28;259,28;259,28;259,28;259,28;259,28
01.01.2018;16 - 17;264,77;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87;264,87
01.01.2018;17 - 18;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79;268,79
01.01.2018;18 - 19;267,51;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41;267,41
01.01.2018;19 - 20;264,28;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18;264,18
01.01.2018;20 - 21;261,54;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63;261,63
01.01.2018;21 - 22;259,18;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38;259,38
01.01.2018;22 - 23;255,46;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66;255,66
01.01.2018;23 - 00;245,17;243,8;243,8;243,8;243,8;243,8;243,8;243,8;245,17;245,17;245,17;252,52;252,52;252,52;243,8;243,8;243,8
02.01.2018;00 - 01;252,23;247,72;247,72;247,72;247,72;247,72;177,56;177,56;253,79;253,79;253,79;253,79;253,79;253,79;247,72;247,72;247,72
02.01.2018;01 - 02;246,25;226,94;226,94;226,94;226,94;226,94;146,89;146,89;250,07;250,07;250,07;250,07;250,07;250,07;226,94;226,94;226,94
02.01.2018;02 - 03;248,89;242,82;242,82;242,82;242,82;242,82;174,32;174,32;253,4;253,4;253,4;250,66;250,66;250,66;242,82;242,82;242,82
02.01.2018;03 - 04;249,78;245,27;245,27;245,27;245,27;245,27;240,17;240,17;250,66;250,66;250,66;250,17;250,17;250,17;245,27;245,27;245,27
02.01.2018;04 - 05;251,44;252,13;252,13;252,13;252,13;252,13;115,92;174,62;252,13;252,13;252,13;252,13;252,13;252,13;252,13;252,13;252,13
02.01.2018;05 - 06;262,12;263,01;263,01;263,01;263,01;263,01;142,58;263,01;263,01;263,01;263,01;263,01;263,01;263,01;263,01;263,01;263,01
02.01.2018;06 - 07;271,33;272,41;272,41;272,41;272,41;272,41;221,26;272,41;272,41;272,41;272,41;272,41;272,41;272,41;272,41;272,41;272,41
02.01.2018;07 - 08;301,12;298,87;298,87;298,87;298,87;298,87;410,77;410,77;298,87;298,87;298,87;298,87;298,87;298,87;298,87;298,87;298,87
02.01.2018;08 - 09;330,91;312,88;312,88;312,88;312,88;312,88;469,86;469,86;312,88;312,88;312,88;312,88;312,88;312,88;312,88;312,88;312,88
02.01.2018;09 - 10;333,56;328,56;328,56;328,56;328,56;328,56;372,56;372,56;328,56;328,56;328,56;328,56;328,56;328,56;328,56;328,56;328,56
02.01.2018;10 - 11;343,65;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36;343,36
02.01.2018;11 - 12;345,32;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12;345,12
02.01.2018;12 - 13;338,75;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65;338,65
02.01.2018;13 - 14;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15;334,15
02.01.2018;14 - 15;352,96;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57;352,57
02.01.2018;15 - 16;372,95;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85;372,85
02.01.2018;16 - 17;408,42;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32;408,32
02.01.2018;17 - 18;415,48;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38;415,38
02.01.2018;18 - 19;382,65;370,3;370,3;370,3;370,3;370,3;441,54;441,54;370,3;370,3;370,3;370,3;370,3;370,3;370,3;370,3;370,3
02.01.2018;19 - 20;343,16;330,23;330,23;330,23;333,95;330,23;402,54;402,54;330,23;330,23;330,23;330,23;330,23;330,23;330,23;333,95;333,95
02.01.2018;20 - 21;302,59;302,59;302,59;302,59;302,59;302,59;342,38;309,16;302,59;302,59;302,59;302,59;302,59;302,59;302,59;302,59;302,59
02.01.2018;21 - 22;282,31;282,7;282,7;282,7;282,7;282,7;249,48;282,7;282,7;282,7;282,7;282,7;282,7;282,7;282,7;282,7;282,7
02.01.2018;22 - 23;273,88;274,27;274,27;274,27;274,27;274,27;208,72;274,27;274,27;274,27;274,27;274,27;274,27;274,27;274,27;274,27;274,27
02.01.2018;23 - 00;269,96;270,45;270,45;270,45;270,45;270,45;185,89;270,45;270,45;270,45;270,45;270,45;270,45;270,45;270,45;270,45;270,45
03.01.2018;00 - 01;264,56;265,25;265,25;265,25;265,25;265,25;177,12;177,12;265,25;262,7;265,25;265,25;265,25;265,25;265,25;265,25;265,25
03.01.2018;01 - 02;259,38;260,26;260,26;260,26;260,26;260,26;13,5;13,5;260,26;260,26;260,26;260,26;260,26;260,26;260,26;260,26;260,26
03.01.2018;02 - 03;253,9;256,84;256,84;256,84;256,84;256,84;0,2;0,2;256,84;255,47;256,84;256,84;256,84;256,84;256,84;256,84;256,84
03.01.2018;03 - 04;249,6;256,54;256,54;256,54;256,54;256,54;-58,59;-58,59;256,54;255,17;256,54;256,54;256,54;256,54;256,54;256,54;256,54
03.01.2018;04 - 05;252,34;258,4;258,4;258,4;258,4;258,4;-90,08;-90,08;258,4;255,76;258,4;258,4;258,4;258,4;258,4;258,4;258,4
03.01.2018;05 - 06;260,94;268,67;268,67;268,67;268,67;268,67;-45,38;-45,38;268,67;259,48;268,67;268,67;268,67;268,67;268,67;268,67;268,67
03.01.2018;06 - 07;270,43;276,89;276,89;276,89;276,89;276,89;96,83;181,04;276,89;259,87;276,89;276,89;276,89;276,89;276,89;276,89;276,89
03.01.2018;07 - 08;278,94;283,15;283,15;283,15;283,15;283,15;263,78;283,15;283,15;263,78;283,15;283,15;283,15;283,15;283,15;283,15;283,15
03.01.2018;08 - 09;281,97;285,59;285,59;285,59;285,59;285,59;269,65;285,59;285,59;269,65;285,59;285,59;285,59;285,59;285,59;285,59;285,59
