Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;EE;LV;LV;LT;LT;AT;AT;BE;BE;DE-LU;DE-LU;FR;FR;NL;NL
01.01.2019;00 - 01;443,21;281,74;281,74;281,74;281,74;281,74;281,74;281,74;485,19;485,19;485,19;451,26;451,26;451,26;;281,74;;281,74;;281,74;;;;;;;;;;
01.01.2019;01 - 02;438,43;100,18;100,18;100,18;100,18;100,18;100,18;100,18;489,96;489,96;489,96;450,77;450,77;450,77;;100,18;;100,18;;100,18;;;;;;;;;;
01.01.2019;02 - 03;409,08;99,78;99,78;99,78;99,78;99,78;-40,59;-40,59;489,17;489,17;489,17;451,36;451,36;451,36;;99,78;;99,78;;99,78;;;;;;;;;;
01.01.2019;03 - 04;386,8;45,37;45,37;45,37;45,37;45,37;-98,59;-98,59;481,21;481,21;481,21;449,77;449,77;449,77;;45,37;;45,37;;45,37;;;;;;;;;;
01.01.2019;04 - 05;355,16;48,05;48,05;48,05;48,05;48,05;-73,72;-73,72;469,47;469,47;469,47;446,69;446,69;446,69;;48,05;;48,05;;48,05;;;;;;;;;;
01.01.2019;05 - 06;349,09;80,48;80,48;80,48;80,48;80,48;-124,85;-124,85;471,26;471,26;471,26;449,27;449,27;449,27;;80,48;;80,48;;80,48;;;;;;;;;;
01.01.2019;06 - 07;358,84;254,08;254,08;254,08;254,08;254,08;-171,61;-171,61;479,12;479,12;479,12;459,32;459,32;459,32;;254,08;;254,08;;254,08;;;;;;;;;;
01.01.2019;07 - 08;409,48;389,58;389,58;389,58;389,58;389,58;-149,92;-149,92;488,37;488,37;488,37;458,63;458,63;458,63;;389,58;;389,58;;389,58;;;;;;;;;;
01.01.2019;08 - 09;418,53;374,66;374,66;374,66;374,66;374,66;-49,05;-49,05;473,85;473,85;473,85;455,14;455,14;455,14;;374,66;;374,66;;374,66;;;;;;;;;;
01.01.2019;09 - 10;409,28;214,09;214,09;214,09;214,09;214,09;-62,97;-62,97;477,43;477,43;477,43;457,73;457,73;457,73;;214,09;;214,09;;214,09;;;;;;;;;;
