Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 19-10-2021;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT;AT;BE;DE-LU;FR;NL
01.01.2021;00 - 01;258,4;260,59;260,59;260,59;260,59;260,59;531,31;531,31;260,59;260,59;260,59;248,27;248,27;194,79;260,59;260,59;260,59;;;;;
01.01.2021;01 - 02;253,59;254,32;254,32;254,32;254,32;254,32;503,32;503,32;254,32;254,32;254,32;239,49;239,49;194,37;254,32;254,32;254,32;;;;;
01.01.2021;02 - 03;249,62;250,46;250,46;250,46;250,46;250,46;466,66;466,66;250,46;250,46;250,46;247,33;247,33;193,95;250,46;250,46;250,46;;;;;
01.01.2021;03 - 04;246,59;247,74;247,74;247,74;247,74;247,74;448,28;448,28;247,74;247,74;247,74;246,8;246,8;193,95;247,74;247,74;247,74;;;;;
01.01.2021;04 - 05;247,12;247,85;247,85;247,85;247,85;247,85;421,85;421,85;247,85;247,85;247,85;247,64;247,64;194,16;247,85;247,85;247,85;;;;;
01.01.2021;05 - 06;251,29;251,29;251,29;251,29;251,29;251,29;419,87;419,87;251,29;251,29;251,29;249,52;249,52;195;251,29;251,29;251,29;;;;;
01.01.2021;06 - 07;255,16;255,26;255,26;255,26;255,26;255,26;413,92;413,92;255,26;255,26;255,26;254,43;254,43;195,42;255,26;255,26;255,26;;;;;
01.01.2021;07 - 08;260,07;260,38;260,38;260,38;260,38;260,38;418,72;418,72;260,38;260,38;260,38;260,38;260,38;193,43;260,38;260,38;260,38;;;;;
01.01.2021;08 - 09;260,17;260,07;260,07;260,07;260,07;260,07;431,04;431,04;260,07;260,07;260,07;260,07;260,07;194,48;260,07;260,07;260,07;;;;;
01.01.2021;09 - 10;263,72;261,84;261,84;261,84;261,84;261,84;468,75;468,75;261,84;261,84;261,84;261,84;261,84;196,36;261,84;261,84;261,84;;;;;
01.01.2021;10 - 11;270,72;267,69;267,69;267,69;313,54;267,69;470;470;267,69;267,69;267,69;267,69;267,69;197,82;313,54;313,54;313,54;;;;;
01.01.2021;11 - 12;275,73;270,72;270,72;270,72;387,91;270,72;492,98;492,98;270,72;270,72;270,72;270,72;270,72;198,45;387,91;387,91;387,91;;;;;
01.01.2021;12 - 13;282;272,91;272,91;272,91;407,86;272,91;530,37;530,37;272,91;272,91;272,91;272,91;272,91;238,97;407,86;407,86;407,86;;;;;
01.01.2021;13 - 14;285,13;277,51;277,51;277,51;423,94;277,51;475,12;475,12;277,51;277,51;277,51;277,51;277,51;277,51;423,94;423,94;423,94;;;;;
01.01.2021;14 - 15;293,07;285,13;285,13;285,13;426,03;285,13;467,18;467,18;285,13;285,13;285,13;285,13;285,13;285,13;426,03;426,03;426,03;;;;;
01.01.2021;15 - 16;307,49;298,82;298,82;298,82;474,91;298,82;486,61;486,61;298,82;298,82;298,82;298,82;298,82;298,82;474,91;474,91;474,91;;;;;
01.01.2021;16 - 17;358,66;315,95;315,95;315,95;540,19;315,95;553,45;553,45;306,55;306,55;306,55;315,95;315,95;315,95;540,19;540,19;540,19;;;;;
01.01.2021;17 - 18;415,9;315,32;315,32;315,32;578,52;315,32;629,39;629,39;306,02;306,02;306,02;315,32;315,32;315,32;578,52;578,52;578,52;;;;;
01.01.2021;18 - 19;361,17;301,01;301,01;301,01;553,66;301,01;633,04;633,04;301,01;301,01;301,01;301,01;301,01;301,01;553,66;553,66;553,66;;;;;
01.01.2021;19 - 20;318,98;295,06;295,06;295,06;582,18;295,06;630,43;630,43;295,06;295,06;295,06;295,06;295,06;295,06;582,18;582,18;582,18;;;;;
01.01.2021;20 - 21;299,76;285,34;285,34;285,34;573,82;285,34;599,51;599,51;285,34;285,34;285,34;285,34;285,34;285,34;573,82;573,82;573,82;;;;;
01.01.2021;21 - 22;295,47;281,79;281,79;281,79;530,79;295,06;562,54;562,54;281,79;281,79;281,79;261,01;261,01;261,01;530,79;530,79;530,79;;;;;
01.01.2021;22 - 23;282,21;276,15;276,15;276,15;472,3;282,11;558,26;558,26;276,15;276,15;276,15;239,39;239,39;239,39;472,3;472,3;472,3;;;;;
01.01.2021;23 - 00;268,53;267,8;267,8;267,8;267,8;267,8;519,3;519,3;267,8;267,8;267,8;227,79;227,79;227,79;267,8;267,8;267,8;;;;;
02.01.2021;00 - 01;266,65;267,27;267,27;267,27;267,27;267,27;487,65;487,65;267,27;267,27;267,27;230,09;230,09;203,15;267,27;267,27;267,27;;;;;
02.01.2021;01 - 02;259,44;260,17;260,17;260,17;260,17;260,17;443,16;443,16;260,17;260,17;260,17;230,72;230,72;202,62;260,17;260,17;260,17;;;;;
02.01.2021;02 - 03;257,67;258,4;258,4;258,4;258,4;258,4;429,16;429,16;258,4;258,4;258,4;229,78;229,78;202,31;258,4;258,4;258,4;;;;;
02.01.2021;03 - 04;257,14;257,56;257,56;257,56;257,56;257,56;417,78;417,78;257,56;257,56;257,56;230,09;230,09;202,94;257,56;257,56;257,56;;;;;
02.01.2021;04 - 05;257,87;258,19;258,19;258,19;258,19;258,19;392,19;392,19;258,19;258,19;258,19;230,72;230,72;203,35;258,19;258,19;258,19;;;;;
02.01.2021;05 - 06;260,28;260,28;260,28;260,28;260,28;260,28;407,34;407,34;260,28;260,28;260,28;246,07;246,07;203,67;260,28;260,28;260,28;;;;;
02.01.2021;06 - 07;268,42;267,59;267,59;267,59;313,86;267,59;439,61;439,61;267,59;267,59;267,59;254,95;254,95;203,67;313,86;313,86;313,86;;;;;
02.01.2021;07 - 08;276,47;273,54;273,54;273,54;273,54;273,54;469,58;469,58;273,54;273,54;273,54;268,84;268,84;209,41;273,54;273,54;273,54;;;;;
02.01.2021;08 - 09;286,81;292,65;292,65;292,65;452,25;292,65;506,04;506,04;278,87;278,87;278,87;270,2;270,2;217,04;452,25;452,25;452,25;;;;;
02.01.2021;09 - 10;292,97;288,79;288,79;288,79;499,77;288,79;543,11;543,11;280,85;280,85;280,85;280,85;280,85;237,19;499,77;499,77;499,77;;;;;
02.01.2021;10 - 11;301,43;301,11;301,11;301,11;530,06;301,11;543,11;543,11;289,31;289,31;289,31;289,31;289,31;272,5;530,06;530,06;530,06;;;;;
02.01.2021;11 - 12;303,2;310,83;310,83;310,83;531,63;310,83;544,68;544,68;293,39;293,39;293,39;310,83;310,83;310,83;531,63;531,63;531,63;;;;;
02.01.2021;12 - 13;301,95;298,92;298,92;298,92;561,39;298,92;584,37;584,37;290,77;290,77;290,77;298,92;298,92;298,92;561,39;561,39;561,39;;;;;
02.01.2021;13 - 14;301,32;299,97;299,97;299,97;530,06;299,97;543,11;543,11;290,77;290,77;290,77;299,97;299,97;299,97;530,06;530,06;530,06;;;;;
02.01.2021;14 - 15;305,92;301,74;301,74;301,74;516,79;383,63;529,43;529,43;291,51;291,51;291,51;301,74;301,74;301,74;516,79;516,79;516,79;;;;;
02.01.2021;15 - 16;318,77;415,06;415,06;415,06;544,79;480,97;558,26;558,26;293,28;293,28;293,28;415,06;415,06;371,2;544,79;544,79;544,79;;;;;
02.01.2021;16 - 17;459,24;614,97;614,97;614,97;614,97;614,97;626,57;626,57;301,32;301,32;301,32;614,97;614,97;365,66;614,97;614,97;614,97;;;;;
02.01.2021;17 - 18;507,18;632;632;632;632;632;647,56;647,56;302,16;302,16;302,16;632;632;335,16;632;632;632;;;;;
02.01.2021;18 - 19;499,66;625;625;625;642,96;625;658,84;658,84;297,98;297,98;297,98;625;625;330,15;642,96;642,96;642,96;;;;;
02.01.2021;19 - 20;380,7;312,71;312,71;312,71;586,67;419,35;649,33;649,33;297,77;297,77;297,77;312,71;312,71;246,18;586,67;586,67;586,67;;;;;
02.01.2021;20 - 21;299,23;285,97;285,97;285,97;574,55;285,97;626,98;626,98;285,97;285,97;285,97;285,97;285,97;224,66;574,55;574,55;574,55;;;;;
02.01.2021;21 - 22;296;281,58;281,58;281,58;549,38;325,35;574,76;574,76;281,58;281,58;281,58;281,58;281,58;217,14;549,38;549,38;549,38;;;;;
02.01.2021;22 - 23;287,22;280,43;280,43;280,43;492,25;291,51;545,73;545,73;280,43;280,43;280,43;280,43;280,43;216,2;492,25;492,25;492,25;;;;;
02.01.2021;23 - 00;271,14;270,93;270,93;270,93;413,18;270,93;506,04;506,04;270,93;270,93;270,93;270,93;270,93;207,53;413,18;413,18;413,18;;;;;
03.01.2021;00 - 01;266,44;263,93;263,93;263,93;263,93;263,93;481,6;481,6;263,93;263,93;263,93;263,93;263,93;239,07;263,93;263,93;263,93;;;;;
03.01.2021;01 - 02;258,4;256,83;256,83;256,83;256,83;256,83;434,39;434,39;256,83;256,83;256,83;256,83;256,83;226,44;256,83;256,83;256,83;;;;;
03.01.2021;02 - 03;250,88;249,21;249,21;249,21;249,21;249,21;388,64;388,64;249,21;249,21;249,21;249,21;249,21;211,81;249,21;249,21;249,21;;;;;
03.01.2021;03 - 04;248,27;246,18;246,18;246,18;246,18;246,18;367,44;367,44;246,18;246,18;246,18;246,18;246,18;208,68;246,18;246,18;246,18;;;;;
03.01.2021;04 - 05;245,55;245,34;245,34;245,34;245,34;245,34;257,46;257,46;245,34;245,34;245,34;245,34;245,34;208,58;245,34;245,34;245,34;;;;;
03.01.2021;05 - 06;248,68;249,1;249,1;249,1;249,1;249,1;249,1;249,1;249,1;249,1;249,1;249,1;249,1;208,79;249,1;249,1;249,1;;;;;
